county,precinct,office,district,party,candidate,votes
Wayne,30,Attorney General,,LIB,Karl Kolenich,8
Wayne,30,Attorney General,,MTN,Michael Sharley,7
Wayne,31,Attorney General,,REP,Patrick Morrisey,112
Wayne,31,Attorney General,,DEM,Doug Reynolds,118
Wayne,31,Attorney General,,LIB,Karl Kolenich,3
Wayne,31,Attorney General,,MTN,Michael Sharley,1
Wayne,34,Attorney General,,REP,Patrick Morrisey,108
Wayne,34,Attorney General,,DEM,Doug Reynolds,178
Wayne,34,Attorney General,,LIB,Karl Kolenich,6
Wayne,34,Attorney General,,MTN,Michael Sharley,9
Wayne,36,Attorney General,,REP,Patrick Morrisey,197
Wayne,36,Attorney General,,DEM,Doug Reynolds,203
Wayne,36,Attorney General,,LIB,Karl Kolenich,8
Wayne,36,Attorney General,,MTN,Michael Sharley,5
Wayne,37,Attorney General,,REP,Patrick Morrisey,151
Wayne,37,Attorney General,,DEM,Doug Reynolds,158
Wayne,37,Attorney General,,LIB,Karl Kolenich,1
Wayne,37,Attorney General,,MTN,Michael Sharley,2
Wayne,41,Attorney General,,REP,Patrick Morrisey,96
Wayne,41,Attorney General,,DEM,Doug Reynolds,128
Wayne,41,Attorney General,,LIB,Karl Kolenich,3
Wayne,41,Attorney General,,MTN,Michael Sharley,2
Wayne,42,Attorney General,,REP,Patrick Morrisey,59
Wayne,42,Attorney General,,DEM,Doug Reynolds,112
Wayne,42,Attorney General,,LIB,Karl Kolenich,4
Wayne,42,Attorney General,,MTN,Michael Sharley,1
Wayne,45,Attorney General,,REP,Patrick Morrisey,114
Wayne,45,Attorney General,,DEM,Doug Reynolds,161
Wayne,45,Attorney General,,LIB,Karl Kolenich,9
Wayne,45,Attorney General,,MTN,Michael Sharley,4
Wayne,48,Attorney General,,REP,Patrick Morrisey,249
Wayne,48,Attorney General,,DEM,Doug Reynolds,314
Wayne,48,Attorney General,,LIB,Karl Kolenich,14
Wayne,48,Attorney General,,MTN,Michael Sharley,5
Wayne,49,Attorney General,,REP,Patrick Morrisey,270
Wayne,49,Attorney General,,DEM,Doug Reynolds,385
Wayne,49,Attorney General,,LIB,Karl Kolenich,13
Wayne,49,Attorney General,,MTN,Michael Sharley,5
Wayne,50,Attorney General,,REP,Patrick Morrisey,171
Wayne,50,Attorney General,,DEM,Doug Reynolds,267
Wayne,50,Attorney General,,LIB,Karl Kolenich,5
Wayne,50,Attorney General,,MTN,Michael Sharley,3
Wayne,51,Attorney General,,REP,Patrick Morrisey,210
Wayne,51,Attorney General,,DEM,Doug Reynolds,296
Wayne,51,Attorney General,,LIB,Karl Kolenich,10
Wayne,51,Attorney General,,MTN,Michael Sharley,11
Wayne,52,Attorney General,,REP,Patrick Morrisey,101
Wayne,52,Attorney General,,DEM,Doug Reynolds,117
Wayne,52,Attorney General,,LIB,Karl Kolenich,10
Wayne,52,Attorney General,,MTN,Michael Sharley,1
Wayne,53,Attorney General,,REP,Patrick Morrisey,228
Wayne,53,Attorney General,,DEM,Doug Reynolds,237
Wayne,53,Attorney General,,LIB,Karl Kolenich,11
Wayne,53,Attorney General,,MTN,Michael Sharley,3
Wayne,54,Attorney General,,REP,Patrick Morrisey,128
Wayne,54,Attorney General,,DEM,Doug Reynolds,208
Wayne,54,Attorney General,,LIB,Karl Kolenich,4
Wayne,54,Attorney General,,MTN,Michael Sharley,2
Wayne,56,Attorney General,,REP,Patrick Morrisey,287
Wayne,56,Attorney General,,DEM,Doug Reynolds,368
Wayne,56,Attorney General,,LIB,Karl Kolenich,5
Wayne,56,Attorney General,,MTN,Michael Sharley,5
Wayne,57,Attorney General,,REP,Patrick Morrisey,153
Wayne,57,Attorney General,,DEM,Doug Reynolds,222
Wayne,57,Attorney General,,LIB,Karl Kolenich,9
Wayne,57,Attorney General,,MTN,Michael Sharley,5
Wayne,59,Attorney General,,REP,Patrick Morrisey,167
Wayne,59,Attorney General,,DEM,Doug Reynolds,283
Wayne,59,Attorney General,,LIB,Karl Kolenich,13
Wayne,59,Attorney General,,MTN,Michael Sharley,9
Wayne,60,Attorney General,,REP,Patrick Morrisey,158
Wayne,60,Attorney General,,DEM,Doug Reynolds,252
Wayne,60,Attorney General,,LIB,Karl Kolenich,5
Wayne,60,Attorney General,,MTN,Michael Sharley,7
Wayne,61,Attorney General,,REP,Patrick Morrisey,130
Wayne,61,Attorney General,,DEM,Doug Reynolds,213
Wayne,61,Attorney General,,LIB,Karl Kolenich,5
Wayne,61,Attorney General,,MTN,Michael Sharley,2
Wayne,62,Attorney General,,REP,Patrick Morrisey,263
Wayne,62,Attorney General,,DEM,Doug Reynolds,352
Wayne,62,Attorney General,,LIB,Karl Kolenich,10
Wayne,62,Attorney General,,MTN,Michael Sharley,9
Wayne,63,Attorney General,,REP,Patrick Morrisey,99
Wayne,63,Attorney General,,DEM,Doug Reynolds,157
Wayne,63,Attorney General,,LIB,Karl Kolenich,11
Wayne,63,Attorney General,,MTN,Michael Sharley,1
Wayne,Total,Attorney General,,REP,Patrick Morrisey,6351
Wayne,Total,Attorney General,,DEM,Doug Reynolds,8132
Wayne,Total,Attorney General,,LIB,Karl Kolenich,272
Wayne,Total,Attorney General,,MTN,Michael Sharley,154
Wayne,11,State Senate,5,REP,Tyson Smith,101
Wayne,11,State Senate,5,DEM,Robert H. “Bob” Plymale,155
Wayne,12,State Senate,5,REP,Tyson Smith,93
Wayne,12,State Senate,5,DEM,Robert H. “Bob” Plymale,198
Wayne,13,State Senate,5,REP,Tyson Smith,214
Wayne,13,State Senate,5,DEM,Robert H. “Bob” Plymale,248
Wayne,14,State Senate,5,REP,Tyson Smith,376
Wayne,14,State Senate,5,DEM,Robert H. “Bob” Plymale,429
Wayne,16,State Senate,5,REP,Tyson Smith,115
Wayne,16,State Senate,5,DEM,Robert H. “Bob” Plymale,157
Wayne,17,State Senate,5,REP,Tyson Smith,155
Wayne,17,State Senate,5,DEM,Robert H. “Bob” Plymale,225
Wayne,20,State Senate,5,REP,Tyson Smith,159
Wayne,20,State Senate,5,DEM,Robert H. “Bob” Plymale,214
Wayne,21,State Senate,5,REP,Tyson Smith,113
Wayne,21,State Senate,5,DEM,Robert H. “Bob” Plymale,160
Wayne,56,State Senate,5,REP,Tyson Smith,302
Wayne,56,State Senate,5,DEM,Robert H. “Bob” Plymale,351
Wayne,57,State Senate,5,REP,Tyson Smith,158
Wayne,57,State Senate,5,DEM,Robert H. “Bob” Plymale,228
Wayne,59,State Senate,5,REP,Tyson Smith,183
Wayne,59,State Senate,5,DEM,Robert H. “Bob” Plymale,275
Wayne,60,State Senate,5,REP,Tyson Smith,155
Wayne,60,State Senate,5,DEM,Robert H. “Bob” Plymale,258
Wayne,61,State Senate,5,REP,Tyson Smith,122
Wayne,61,State Senate,5,DEM,Robert H. “Bob” Plymale,219
Wayne,62,State Senate,5,REP,Tyson Smith,290
Wayne,62,State Senate,5,DEM,Robert H. “Bob” Plymale,332
Wayne,63,State Senate,5,REP,Tyson Smith,105
Wayne,63,State Senate,5,DEM,Robert H. “Bob” Plymale,154
Wayne,Total,State Senate,5,REP,Tyson Smith,2641
Wayne,Total,State Senate,5,DEM,Robert H. “Bob” Plymale,3603
Wayne,1,State Senate,6,REP,Chandler Swope,323
Wayne,1,State Senate,6,DEM,Rockwell “Rocky” Seay,295
Wayne,5,State Senate,6,REP,Chandler Swope,223
Wayne,5,State Senate,6,DEM,Rockwell “Rocky” Seay,226
Wayne,6,State Senate,6,REP,Chandler Swope,89
Wayne,6,State Senate,6,DEM,Rockwell “Rocky” Seay,103
Wayne,18,State Senate,6,REP,Chandler Swope,178
Wayne,18,State Senate,6,DEM,Rockwell “Rocky” Seay,158
Wayne,30,State Senate,6,REP,Chandler Swope,244
Wayne,30,State Senate,6,DEM,Rockwell “Rocky” Seay,240
Wayne,31,State Senate,6,REP,Chandler Swope,103
Wayne,31,State Senate,6,DEM,Rockwell “Rocky” Seay,113
Wayne,34,State Senate,6,REP,Chandler Swope,100
Wayne,34,State Senate,6,DEM,Rockwell “Rocky” Seay,164
Wayne,36,State Senate,6,REP,Chandler Swope,172
Wayne,36,State Senate,6,DEM,Rockwell “Rocky” Seay,183
Wayne,37,State Senate,6,REP,Chandler Swope,132
Wayne,37,State Senate,6,DEM,Rockwell “Rocky” Seay,135
Wayne,Total,State Senate,6,REP,Chandler Swope,1564
Wayne,Total,State Senate,6,DEM,Rockwell “Rocky” Seay,1617
Wayne,19,State Senate,7,REP,Jordan Ray Bridges,343
Wayne,19,State Senate,7,DEM,Richard N. Ojeda Ii,167
Wayne,22,State Senate,7,REP,Jordan Ray Bridges,222
Wayne,22,State Senate,7,DEM,Richard N. Ojeda Ii,162
Wayne,41,State Senate,7,REP,Jordan Ray Bridges,84
Wayne,41,State Senate,7,DEM,Richard N. Ojeda Ii,124
Wayne,42,State Senate,7,REP,Jordan Ray Bridges,58
Wayne,42,State Senate,7,DEM,Richard N. Ojeda Ii,106
Wayne,45,State Senate,7,REP,Jordan Ray Bridges,135
Wayne,45,State Senate,7,DEM,Richard N. Ojeda Ii,117
Wayne,48,State Senate,7,REP,Jordan Ray Bridges,293
Wayne,48,State Senate,7,DEM,Richard N. Ojeda Ii,222
Wayne,49,State Senate,7,REP,Jordan Ray Bridges,339
Wayne,49,State Senate,7,DEM,Richard N. Ojeda Ii,253
Wayne,50,State Senate,7,REP,Jordan Ray Bridges,193
Wayne,50,State Senate,7,DEM,Richard N. Ojeda Ii,192
Wayne,51,State Senate,7,REP,Jordan Ray Bridges,238
Wayne,51,State Senate,7,DEM,Richard N. Ojeda Ii,207
Wayne,52,State Senate,7,REP,Jordan Ray Bridges,105
Wayne,52,State Senate,7,DEM,Richard N. Ojeda Ii,103
Wayne,53,State Senate,7,REP,Jordan Ray Bridges,247
Wayne,53,State Senate,7,DEM,Richard N. Ojeda Ii,169
Wayne,54,State Senate,7,REP,Jordan Ray Bridges,139
Wayne,54,State Senate,7,DEM,Richard N. Ojeda Ii,153
Wayne,Total,State Senate,7,REP,Jordan Ray Bridges,2396
Wayne,Total,State Senate,7,DEM,Richard N. Ojeda Ii,1975
Wayne,56,State House,17,REP,Anne Brockus Dandelet,234
Wayne,56,State House,17,REP,Matthew Rohrbach,379
Wayne,56,State House,17,DEM,Joe M. Fincham,130
Wayne,56,State House,17,DEM,Chad Lovejoy,265
Wayne,59,State House,17,REP,Anne Brockus Dandelet,158
Wayne,59,State House,17,REP,Matthew Rohrbach,260
Wayne,59,State House,17,DEM,Joe M. Fincham,96
Wayne,59,State House,17,DEM,Chad Lovejoy,202
Wayne,60,State House,17,REP,Anne Brockus Dandelet,141
Wayne,60,State House,17,REP,Matthew Rohrbach,243
Wayne,60,State House,17,DEM,Joe M. Fincham,95
Wayne,60,State House,17,DEM,Chad Lovejoy,175
Wayne,61,State House,17,REP,Anne Brockus Dandelet,105
Wayne,61,State House,17,REP,Matthew Rohrbach,191
Wayne,61,State House,17,DEM,Joe M. Fincham,76
Wayne,61,State House,17,DEM,Chad Lovejoy,163
Wayne,63,State House,17,REP,Anne Brockus Dandelet,90
Wayne,63,State House,17,REP,Matthew Rohrbach,147
Wayne,63,State House,17,DEM,Joe M. Fincham,63
Wayne,63,State House,17,DEM,Chad Lovejoy,128
Wayne,Total,State House,17,REP,Anne Brockus Dandelet,728
Wayne,Total,State House,17,REP,Matthew Rohrbach,1220
Wayne,Total,State House,17,DEM,Joe M. Fincham,460
Wayne,Total,State House,17,DEM,Chad Lovejoy,933
Wayne,1,State House,19,REP,John D. Creamer,148
Wayne,1,State House,19,REP,Mark Ross,403
Wayne,1,State House,19,DEM,Robert Thompson,219
Wayne,1,State House,19,DEM,Ken Hicks,107
Wayne,1,State House,19,LIB,Derrick Evans,279
Wayne,5,State House,19,REP,John D. Creamer,105
Wayne,5,State House,19,REP,Mark Ross,264
Wayne,5,State House,19,DEM,Robert Thompson,172
Wayne,5,State House,19,DEM,Ken Hicks,124
Wayne,5,State House,19,LIB,Derrick Evans,175
Wayne,6,State House,19,REP,John D. Creamer,50
Wayne,6,State House,19,REP,Mark Ross,118
Wayne,6,State House,19,DEM,Robert Thompson,72
Wayne,6,State House,19,DEM,Ken Hicks,43
Wayne,6,State House,19,LIB,Derrick Evans,88
Wayne,11,State House,19,REP,John D. Creamer,66
Wayne,11,State House,19,REP,Mark Ross,57
Wayne,11,State House,19,DEM,Robert Thompson,111
Wayne,11,State House,19,DEM,Ken Hicks,157
Wayne,11,State House,19,LIB,Derrick Evans,19
Wayne,12,State House,19,REP,John D. Creamer,65
Wayne,12,State House,19,REP,Mark Ross,68
Wayne,12,State House,19,DEM,Robert Thompson,132
Wayne,12,State House,19,DEM,Ken Hicks,194
Wayne,12,State House,19,LIB,Derrick Evans,22
Wayne,13,State House,19,REP,John D. Creamer,128
Wayne,13,State House,19,REP,Mark Ross,117
Wayne,13,State House,19,DEM,Robert Thompson,172
Wayne,13,State House,19,DEM,Ken Hicks,281
Wayne,13,State House,19,LIB,Derrick Evans,40
Wayne,14,State House,19,REP,John D. Creamer,268
Wayne,14,State House,19,REP,Mark Ross,224
Wayne,14,State House,19,DEM,Robert Thompson,332
Wayne,14,State House,19,DEM,Ken Hicks,473
Wayne,14,State House,19,LIB,Derrick Evans,67
Wayne,16,State House,19,REP,John D. Creamer,59
Wayne,16,State House,19,REP,Mark Ross,51
Wayne,16,State House,19,DEM,Robert Thompson,113
Wayne,16,State House,19,DEM,Ken Hicks,183
Wayne,16,State House,19,LIB,Derrick Evans,26
Wayne,17,State House,19,REP,John D. Creamer,109
Wayne,17,State House,19,REP,Mark Ross,116
Wayne,17,State House,19,DEM,Robert Thompson,160
Wayne,17,State House,19,DEM,Ken Hicks,242
Wayne,17,State House,19,LIB,Derrick Evans,35
Wayne,18,State House,19,REP,John D. Creamer,102
Wayne,18,State House,19,REP,Mark Ross,154
Wayne,18,State House,19,DEM,Robert Thompson,161
Wayne,18,State House,19,DEM,Ken Hicks,158
Wayne,18,State House,19,LIB,Derrick Evans,74
Wayne,19,State House,19,REP,John D. Creamer,201
Wayne,19,State House,19,REP,Mark Ross,200
Wayne,19,State House,19,DEM,Robert Thompson,223
Wayne,19,State House,19,DEM,Ken Hicks,273
Wayne,19,State House,19,LIB,Derrick Evans,46
Wayne,20,State House,19,REP,John D. Creamer,97
Wayne,20,State House,19,REP,Mark Ross,82
Wayne,20,State House,19,DEM,Robert Thompson,147
Wayne,20,State House,19,DEM,Ken Hicks,221
Wayne,20,State House,19,LIB,Derrick Evans,39
Wayne,21,State House,19,REP,John D. Creamer,71
Wayne,21,State House,19,REP,Mark Ross,63
Wayne,21,State House,19,DEM,Robert Thompson,102
Wayne,21,State House,19,DEM,Ken Hicks,182
Wayne,21,State House,19,LIB,Derrick Evans,22
Wayne,22,State House,19,REP,John D. Creamer,147
Wayne,22,State House,19,REP,Mark Ross,177
Wayne,22,State House,19,DEM,Robert Thompson,229
Wayne,22,State House,19,DEM,Ken Hicks,158
Wayne,22,State House,19,LIB,Derrick Evans,33
Wayne,30,State House,19,REP,John D. Creamer,145
Wayne,30,State House,19,REP,Mark Ross,279
Wayne,30,State House,19,DEM,Robert Thompson,342
Wayne,30,State House,19,DEM,Ken Hicks,106
Wayne,30,State House,19,LIB,Derrick Evans,81
Wayne,31,State House,19,REP,John D. Creamer,46
Wayne,31,State House,19,REP,Mark Ross,121
Wayne,31,State House,19,DEM,Robert Thompson,92
Wayne,31,State House,19,DEM,Ken Hicks,41
Wayne,31,State House,19,LIB,Derrick Evans,79
Wayne,34,State House,19,REP,John D. Creamer,45
Wayne,34,State House,19,REP,Mark Ross,98
Wayne,34,State House,19,DEM,Robert Thompson,118
Wayne,34,State House,19,DEM,Ken Hicks,109
Wayne,34,State House,19,LIB,Derrick Evans,120
Wayne,36,State House,19,REP,John D. Creamer,91
Wayne,36,State House,19,REP,Mark Ross,139
Wayne,36,State House,19,DEM,Robert Thompson,213
Wayne,36,State House,19,DEM,Ken Hicks,117
Wayne,36,State House,19,LIB,Derrick Evans,121
Wayne,37,State House,19,REP,John D. Creamer,90
Wayne,37,State House,19,REP,Mark Ross,121
Wayne,37,State House,19,DEM,Robert Thompson,93
Wayne,37,State House,19,DEM,Ken Hicks,79
Wayne,37,State House,19,LIB,Derrick Evans,139
Wayne,41,State House,19,REP,John D. Creamer,48
Wayne,41,State House,19,REP,Mark Ross,78
Wayne,41,State House,19,DEM,Robert Thompson,160
Wayne,41,State House,19,DEM,Ken Hicks,69
Wayne,41,State House,19,LIB,Derrick Evans,11
Wayne,42,State House,19,REP,John D. Creamer,29
Wayne,42,State House,19,REP,Mark Ross,58
Wayne,42,State House,19,DEM,Robert Thompson,120
Wayne,42,State House,19,DEM,Ken Hicks,61
Wayne,42,State House,19,LIB,Derrick Evans,7
Wayne,45,State House,19,REP,John D. Creamer,55
Wayne,45,State House,19,REP,Mark Ross,118
Wayne,45,State House,19,DEM,Robert Thompson,202
Wayne,45,State House,19,DEM,Ken Hicks,74
Wayne,45,State House,19,LIB,Derrick Evans,25
Wayne,48,State House,19,REP,John D. Creamer,222
Wayne,48,State House,19,REP,Mark Ross,211
Wayne,48,State House,19,DEM,Robert Thompson,297
Wayne,48,State House,19,DEM,Ken Hicks,220
Wayne,48,State House,19,LIB,Derrick Evans,28
Wayne,49,State House,19,REP,John D. Creamer,225
Wayne,49,State House,19,REP,Mark Ross,257
Wayne,49,State House,19,DEM,Robert Thompson,386
Wayne,49,State House,19,DEM,Ken Hicks,221
Wayne,49,State House,19,LIB,Derrick Evans,49
Wayne,50,State House,19,REP,John D. Creamer,102
Wayne,50,State House,19,REP,Mark Ross,216
Wayne,50,State House,19,DEM,Robert Thompson,321
Wayne,50,State House,19,DEM,Ken Hicks,121
Wayne,50,State House,19,LIB,Derrick Evans,31
Wayne,51,State House,19,REP,John D. Creamer,114
Wayne,51,State House,19,REP,Mark Ross,238
Wayne,51,State House,19,DEM,Robert Thompson,365
Wayne,51,State House,19,DEM,Ken Hicks,157
Wayne,51,State House,19,LIB,Derrick Evans,44
Wayne,52,State House,19,REP,John D. Creamer,68
Wayne,52,State House,19,REP,Mark Ross,93
Wayne,52,State House,19,DEM,Robert Thompson,135
Wayne,52,State House,19,DEM,Ken Hicks,60
Wayne,52,State House,19,LIB,Derrick Evans,20
Wayne,53,State House,19,REP,John D. Creamer,147
Wayne,53,State House,19,REP,Mark Ross,243
Wayne,53,State House,19,DEM,Robert Thompson,296
Wayne,53,State House,19,DEM,Ken Hicks,134
Wayne,53,State House,19,LIB,Derrick Evans,40
Wayne,54,State House,19,REP,John D. Creamer,69
Wayne,54,State House,19,REP,Mark Ross,155
Wayne,54,State House,19,DEM,Robert Thompson,249
Wayne,54,State House,19,DEM,Ken Hicks,99
Wayne,54,State House,19,LIB,Derrick Evans,31
Wayne,57,State House,19,REP,John D. Creamer,158
Wayne,57,State House,19,REP,Mark Ross,91
Wayne,57,State House,19,DEM,Robert Thompson,170
Wayne,57,State House,19,DEM,Ken Hicks,188
Wayne,57,State House,19,LIB,Derrick Evans,34
Wayne,62,State House,19,REP,John D. Creamer,223
Wayne,62,State House,19,REP,Mark Ross,177
Wayne,62,State House,19,DEM,Robert Thompson,248
Wayne,62,State House,19,DEM,Ken Hicks,346
Wayne,62,State House,19,LIB,Derrick Evans,56
Wayne,Total,State House,19,REP,John D. Creamer,3493
Wayne,Total,State House,19,REP,Mark Ross,4787
Wayne,Total,State House,19,DEM,Robert Thompson,6152
Wayne,Total,State House,19,DEM,Ken Hicks,4998
Wayne,Total,State House,19,LIB,Derrick Evans,1881
