county,precinct,office,district,party,candidate,votes
Wayne,61,President,,CON,Darrell L. Castle,0
Wayne,62,President,,REP,Donald J. Trump,469
Wayne,62,President,,DEM,Hillary Clinton,142
Wayne,62,President,,LIB,Gary Johnson,18
Wayne,62,President,,GRN,Jill Stein,10
Wayne,62,President,,CON,Darrell L. Castle,5
Wayne,63,President,,REP,Donald J. Trump,171
Wayne,63,President,,DEM,Hillary Clinton,83
Wayne,63,President,,LIB,Gary Johnson,10
Wayne,63,President,,GRN,Jill Stein,1
Wayne,63,President,,CON,Darrell L. Castle,5
Wayne,Total,President,,REP,Donald J. Trump,11152
Wayne,Total,President,,DEM,Hillary Clinton,3357
Wayne,Total,President,,LIB,Gary Johnson,421
Wayne,Total,President,,GRN,Jill Stein,122
Wayne,Total,President,,CON,Darrell L. Castle,130
Wayne,1,U.S. House,3,REP,Evan Jenkins,585
Wayne,1,U.S. House,3,DEM,Matt Detch,72
Wayne,1,U.S. House,3,LIB,Zane Lawhorn,18
Wayne,5,U.S. House,3,REP,Evan Jenkins,367
Wayne,5,U.S. House,3,DEM,Matt Detch,71
Wayne,5,U.S. House,3,LIB,Zane Lawhorn,23
Wayne,6,U.S. House,3,REP,Evan Jenkins,164
Wayne,6,U.S. House,3,DEM,Matt Detch,30
Wayne,6,U.S. House,3,LIB,Zane Lawhorn,4
Wayne,11,U.S. House,3,REP,Evan Jenkins,197
Wayne,11,U.S. House,3,DEM,Matt Detch,40
Wayne,11,U.S. House,3,LIB,Zane Lawhorn,7
Wayne,12,U.S. House,3,REP,Evan Jenkins,226
Wayne,12,U.S. House,3,DEM,Matt Detch,61
Wayne,12,U.S. House,3,LIB,Zane Lawhorn,2
Wayne,13,U.S. House,3,REP,Evan Jenkins,343
Wayne,13,U.S. House,3,DEM,Matt Detch,81
Wayne,13,U.S. House,3,LIB,Zane Lawhorn,15
Wayne,14,U.S. House,3,REP,Evan Jenkins,637
Wayne,14,U.S. House,3,DEM,Matt Detch,134
Wayne,14,U.S. House,3,LIB,Zane Lawhorn,24
Wayne,16,U.S. House,3,REP,Evan Jenkins,211
Wayne,16,U.S. House,3,DEM,Matt Detch,42
Wayne,16,U.S. House,3,LIB,Zane Lawhorn,4
Wayne,17,U.S. House,3,REP,Evan Jenkins,316
Wayne,17,U.S. House,3,DEM,Matt Detch,59
Wayne,17,U.S. House,3,LIB,Zane Lawhorn,6
Wayne,18,U.S. House,3,REP,Evan Jenkins,294
Wayne,18,U.S. House,3,DEM,Matt Detch,52
Wayne,18,U.S. House,3,LIB,Zane Lawhorn,13
Wayne,19,U.S. House,3,REP,Evan Jenkins,473
Wayne,19,U.S. House,3,DEM,Matt Detch,69
Wayne,19,U.S. House,3,LIB,Zane Lawhorn,12
Wayne,20,U.S. House,3,REP,Evan Jenkins,267
Wayne,20,U.S. House,3,DEM,Matt Detch,71
Wayne,20,U.S. House,3,LIB,Zane Lawhorn,6
Wayne,21,U.S. House,3,REP,Evan Jenkins,230
Wayne,21,U.S. House,3,DEM,Matt Detch,27
Wayne,21,U.S. House,3,LIB,Zane Lawhorn,4
Wayne,22,U.S. House,3,REP,Evan Jenkins,327
Wayne,22,U.S. House,3,DEM,Matt Detch,82
Wayne,22,U.S. House,3,LIB,Zane Lawhorn,14
Wayne,30,U.S. House,3,REP,Evan Jenkins,444
Wayne,30,U.S. House,3,DEM,Matt Detch,85
Wayne,30,U.S. House,3,LIB,Zane Lawhorn,10
Wayne,31,U.S. House,3,REP,Evan Jenkins,168
Wayne,31,U.S. House,3,DEM,Matt Detch,43
Wayne,31,U.S. House,3,LIB,Zane Lawhorn,4
Wayne,34,U.S. House,3,REP,Evan Jenkins,203
Wayne,34,U.S. House,3,DEM,Matt Detch,76
Wayne,34,U.S. House,3,LIB,Zane Lawhorn,5
Wayne,36,U.S. House,3,REP,Evan Jenkins,286
Wayne,36,U.S. House,3,DEM,Matt Detch,84
Wayne,36,U.S. House,3,LIB,Zane Lawhorn,6
Wayne,37,U.S. House,3,REP,Evan Jenkins,251
Wayne,37,U.S. House,3,DEM,Matt Detch,47
Wayne,37,U.S. House,3,LIB,Zane Lawhorn,4
Wayne,41,U.S. House,3,REP,Evan Jenkins,155
Wayne,41,U.S. House,3,DEM,Matt Detch,49
Wayne,41,U.S. House,3,LIB,Zane Lawhorn,6
Wayne,42,U.S. House,3,REP,Evan Jenkins,110
Wayne,42,U.S. House,3,DEM,Matt Detch,51
Wayne,42,U.S. House,3,LIB,Zane Lawhorn,2
Wayne,45,U.S. House,3,REP,Evan Jenkins,202
Wayne,45,U.S. House,3,DEM,Matt Detch,53
Wayne,45,U.S. House,3,LIB,Zane Lawhorn,7
Wayne,48,U.S. House,3,REP,Evan Jenkins,446
Wayne,48,U.S. House,3,DEM,Matt Detch,100
Wayne,48,U.S. House,3,LIB,Zane Lawhorn,12
Wayne,49,U.S. House,3,REP,Evan Jenkins,532
Wayne,49,U.S. House,3,DEM,Matt Detch,109
Wayne,49,U.S. House,3,LIB,Zane Lawhorn,9
Wayne,50,U.S. House,3,REP,Evan Jenkins,342
Wayne,50,U.S. House,3,DEM,Matt Detch,74
Wayne,50,U.S. House,3,LIB,Zane Lawhorn,14
Wayne,51,U.S. House,3,REP,Evan Jenkins,406
Wayne,51,U.S. House,3,DEM,Matt Detch,80
Wayne,51,U.S. House,3,LIB,Zane Lawhorn,12
Wayne,52,U.S. House,3,REP,Evan Jenkins,163
Wayne,52,U.S. House,3,DEM,Matt Detch,43
Wayne,52,U.S. House,3,LIB,Zane Lawhorn,5
Wayne,53,U.S. House,3,REP,Evan Jenkins,371
Wayne,53,U.S. House,3,DEM,Matt Detch,70
Wayne,53,U.S. House,3,LIB,Zane Lawhorn,10
Wayne,54,U.S. House,3,REP,Evan Jenkins,246
Wayne,54,U.S. House,3,DEM,Matt Detch,56
Wayne,54,U.S. House,3,LIB,Zane Lawhorn,15
Wayne,56,U.S. House,3,REP,Evan Jenkins,507
Wayne,56,U.S. House,3,DEM,Matt Detch,117
Wayne,56,U.S. House,3,LIB,Zane Lawhorn,11
Wayne,57,U.S. House,3,REP,Evan Jenkins,314
Wayne,57,U.S. House,3,DEM,Matt Detch,57
Wayne,57,U.S. House,3,LIB,Zane Lawhorn,7
Wayne,59,U.S. House,3,REP,Evan Jenkins,343
Wayne,59,U.S. House,3,DEM,Matt Detch,98
Wayne,59,U.S. House,3,LIB,Zane Lawhorn,17
Wayne,60,U.S. House,3,REP,Evan Jenkins,313
Wayne,60,U.S. House,3,DEM,Matt Detch,88
Wayne,60,U.S. House,3,LIB,Zane Lawhorn,10
Wayne,61,U.S. House,3,REP,Evan Jenkins,268
Wayne,61,U.S. House,3,DEM,Matt Detch,64
Wayne,61,U.S. House,3,LIB,Zane Lawhorn,5
Wayne,62,U.S. House,3,REP,Evan Jenkins,500
Wayne,62,U.S. House,3,DEM,Matt Detch,101
Wayne,62,U.S. House,3,LIB,Zane Lawhorn,14
Wayne,63,U.S. House,3,REP,Evan Jenkins,195
Wayne,63,U.S. House,3,DEM,Matt Detch,56
Wayne,63,U.S. House,3,LIB,Zane Lawhorn,7
Wayne,Total,U.S. House,3,REP,Evan Jenkins,11402
Wayne,Total,U.S. House,3,DEM,Matt Detch,2492
Wayne,Total,U.S. House,3,LIB,Zane Lawhorn,344
Wayne,1,Governor,,REP,Bill Cole,329
Wayne,1,Governor,,DEM,Jim Justice,355
Wayne,1,Governor,,LIB,David Moran,10
Wayne,1,Governor,,MTN,Charlotte Jean Pritt,38
Wayne,1,Governor,,CON,Phil Hudok,3
Wayne,5,Governor,,REP,Bill Cole,215
Wayne,5,Governor,,DEM,Jim Justice,257
Wayne,5,Governor,,LIB,David Moran,17
Wayne,5,Governor,,MTN,Charlotte Jean Pritt,21
Wayne,5,Governor,,CON,Phil Hudok,3
Wayne,6,Governor,,REP,Bill Cole,101
Wayne,6,Governor,,DEM,Jim Justice,108
Wayne,6,Governor,,LIB,David Moran,3
Wayne,6,Governor,,MTN,Charlotte Jean Pritt,13
Wayne,6,Governor,,CON,Phil Hudok,1
Wayne,11,Governor,,REP,Bill Cole,80
Wayne,11,Governor,,DEM,Jim Justice,152
Wayne,11,Governor,,LIB,David Moran,4
Wayne,11,Governor,,MTN,Charlotte Jean Pritt,20
Wayne,11,Governor,,CON,Phil Hudok,1
Wayne,12,Governor,,REP,Bill Cole,83
Wayne,12,Governor,,DEM,Jim Justice,199
Wayne,12,Governor,,LIB,David Moran,5
Wayne,12,Governor,,MTN,Charlotte Jean Pritt,9
Wayne,12,Governor,,CON,Phil Hudok,0
Wayne,13,Governor,,REP,Bill Cole,186
Wayne,13,Governor,,DEM,Jim Justice,247
Wayne,13,Governor,,LIB,David Moran,5
Wayne,13,Governor,,MTN,Charlotte Jean Pritt,24
Wayne,13,Governor,,CON,Phil Hudok,2
Wayne,14,Governor,,REP,Bill Cole,324
Wayne,14,Governor,,DEM,Jim Justice,446
Wayne,14,Governor,,LIB,David Moran,17
Wayne,14,Governor,,MTN,Charlotte Jean Pritt,33
Wayne,14,Governor,,CON,Phil Hudok,6
Wayne,16,Governor,,REP,Bill Cole,96
Wayne,16,Governor,,DEM,Jim Justice,167
Wayne,16,Governor,,LIB,David Moran,4
Wayne,16,Governor,,MTN,Charlotte Jean Pritt,7
Wayne,16,Governor,,CON,Phil Hudok,2
Wayne,17,Governor,,REP,Bill Cole,156
Wayne,17,Governor,,DEM,Jim Justice,228
Wayne,17,Governor,,LIB,David Moran,4
Wayne,17,Governor,,MTN,Charlotte Jean Pritt,12
Wayne,17,Governor,,CON,Phil Hudok,2
Wayne,18,Governor,,REP,Bill Cole,149
Wayne,18,Governor,,DEM,Jim Justice,217
Wayne,18,Governor,,LIB,David Moran,3
Wayne,18,Governor,,MTN,Charlotte Jean Pritt,11
Wayne,18,Governor,,CON,Phil Hudok,3
Wayne,19,Governor,,REP,Bill Cole,229
Wayne,19,Governor,,DEM,Jim Justice,295
Wayne,19,Governor,,LIB,David Moran,9
Wayne,19,Governor,,MTN,Charlotte Jean Pritt,38
Wayne,19,Governor,,CON,Phil Hudok,2
Wayne,20,Governor,,REP,Bill Cole,123
Wayne,20,Governor,,DEM,Jim Justice,238
Wayne,20,Governor,,LIB,David Moran,2
Wayne,20,Governor,,MTN,Charlotte Jean Pritt,11
Wayne,20,Governor,,CON,Phil Hudok,3
Wayne,21,Governor,,REP,Bill Cole,113
Wayne,21,Governor,,DEM,Jim Justice,156
Wayne,21,Governor,,LIB,David Moran,3
Wayne,21,Governor,,MTN,Charlotte Jean Pritt,8
Wayne,21,Governor,,CON,Phil Hudok,4
Wayne,22,Governor,,REP,Bill Cole,171
Wayne,22,Governor,,DEM,Jim Justice,254
Wayne,22,Governor,,LIB,David Moran,8
Wayne,22,Governor,,MTN,Charlotte Jean Pritt,9
Wayne,22,Governor,,CON,Phil Hudok,2
Wayne,30,Governor,,REP,Bill Cole,248
Wayne,30,Governor,,DEM,Jim Justice,317
Wayne,30,Governor,,LIB,David Moran,4
Wayne,30,Governor,,MTN,Charlotte Jean Pritt,32
Wayne,30,Governor,,CON,Phil Hudok,2
Wayne,31,Governor,,REP,Bill Cole,117
Wayne,31,Governor,,DEM,Jim Justice,113
Wayne,31,Governor,,LIB,David Moran,3
Wayne,31,Governor,,MTN,Charlotte Jean Pritt,8
Wayne,31,Governor,,CON,Phil Hudok,0
Wayne,34,Governor,,REP,Bill Cole,125
Wayne,34,Governor,,DEM,Jim Justice,184
Wayne,34,Governor,,LIB,David Moran,1
Wayne,34,Governor,,MTN,Charlotte Jean Pritt,7
Wayne,34,Governor,,CON,Phil Hudok,2
Wayne,36,Governor,,REP,Bill Cole,161
Wayne,36,Governor,,DEM,Jim Justice,257
Wayne,36,Governor,,LIB,David Moran,4
Wayne,36,Governor,,MTN,Charlotte Jean Pritt,11
Wayne,36,Governor,,CON,Phil Hudok,1
Wayne,37,Governor,,REP,Bill Cole,169
Wayne,37,Governor,,DEM,Jim Justice,152
Wayne,37,Governor,,LIB,David Moran,0
Wayne,37,Governor,,MTN,Charlotte Jean Pritt,10
Wayne,37,Governor,,CON,Phil Hudok,2
Wayne,41,Governor,,REP,Bill Cole,85
Wayne,41,Governor,,DEM,Jim Justice,142
Wayne,41,Governor,,LIB,David Moran,3
Wayne,41,Governor,,MTN,Charlotte Jean Pritt,7
Wayne,41,Governor,,CON,Phil Hudok,0
Wayne,42,Governor,,REP,Bill Cole,54
Wayne,42,Governor,,DEM,Jim Justice,119
Wayne,42,Governor,,LIB,David Moran,2
Wayne,42,Governor,,MTN,Charlotte Jean Pritt,10
Wayne,42,Governor,,CON,Phil Hudok,1
Wayne,45,Governor,,REP,Bill Cole,114
Wayne,45,Governor,,DEM,Jim Justice,164
Wayne,45,Governor,,LIB,David Moran,3
